Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,rowid,y1
51.0,10.0,42.0,22.0,45.0,16.0,350.0,29.88,29.9,226,1
51.0,10.0,34.0,17.0,50.0,6.0,330.0,30.24,30.27,227,0
51.0,10.0,35.0,24.0,64.0,0.0,0.0,30.53,30.56,228,1
51.0,7.0,51.0,49.0,93.0,6.0,200.0,30.6,30.63,229,0
51.0,10.0,38.0,23.0,55.0,11.0,30.0,30.37,30.4,230,1
51.0,10.0,46.0,38.0,74.0,8.0,50.0,30.29,30.31,231,0
51.0,9.0,48.0,45.0,89.0,5.0,360.0,29.98,30.0,232,1
51.0,10.0,55.0,48.0,77.0,10.0,260.0,29.65,29.67,233,1
51.0,10.0,45.0,29.0,54.0,13.0,310.0,30.22,30.25,234,0
51.0,9.0,44.0,38.0,80.0,8.0,250.0,30.24,30.26,235,1
51.0,10.0,44.0,31.0,60.0,14.0,350.0,30.04,30.07,236,0
51.0,10.0,39.0,31.0,73.0,0.0,0.0,30.11,30.14,237,1
51.0,10.0,55.0,49.0,80.0,13.0,170.0,29.96,29.99,238,0
51.0,9.0,50.0,47.0,90.0,3.0,240.0,29.91,29.94,239,1
51.0,10.0,54.0,49.0,83.0,7.0,80.0,30.08,30.1,240,0
51.0,0.25,60.0,58.0,93.0,22.0,190.0,29.39,29.41,241,0
51.0,10.0,53.0,36.0,53.0,16.0,320.0,29.9,29.92,242,0
51.0,10.0,50.0,47.0,90.0,6.0,120.0,30.06,30.08,243,1
51.0,10.0,55.0,51.0,86.0,10.0,250.0,29.65,29.68,244,1
51.0,10.0,38.0,24.0,57.0,10.0,230.0,30.42,30.44,245,0
51.0,10.0,54.0,48.0,80.0,5.0,240.0,30.09,30.11,246,0
51.0,5.0,54.0,51.0,90.0,3.0,310.0,30.09,30.11,247,0
51.0,0.25,59.0,57.0,93.0,20.0,180.0,29.83,29.86,248,1
51.0,10.0,47.0,35.0,63.0,21.0,340.0,30.09,30.11,249,0
51.0,6.0,34.0,30.0,85.0,14.0,50.0,30.37,30.4,250,0
51.0,10.0,41.0,38.0,89.0,5.0,30.0,30.19,30.21,251,1
51.0,5.0,48.0,46.0,93.0,9.0,360.0,30.01,30.03,252,1
51.0,10.0,38.0,25.0,60.0,9.0,290.0,29.87,29.89,253,0
51.0,10.0,14.0,-1.0,51.0,24.0,350.0,30.37,30.39,254,0
51.0,10.0,22.0,11.0,63.0,0.0,0.0,30.58,30.6,255,0
51.0,10.0,33.0,14.0,46.0,8.0,260.0,30.37,30.4,256,1
51.0,10.0,35.0,21.0,57.0,6.0,30.0,30.16,30.19,257,1
51.0,10.0,40.0,20.0,45.0,30.0,270.0,29.62,29.65,258,1
51.0,10.0,27.0,4.0,37.0,6.0,290.0,30.09,30.12,259,1
51.0,10.0,29.0,6.0,37.0,30.0,280.0,29.75,29.77,260,1
51.0,10.0,25.0,3.0,38.0,14.0,280.0,29.98,30.0,261,0
51.0,10.0,33.0,21.0,61.0,5.0,90.0,29.93,29.96,262,0
51.0,10.0,19.0,1.0,45.0,22.0,280.0,29.98,30.0,263,1
51.0,10.0,30.0,12.0,47.0,16.0,310.0,30.11,30.14,264,0
51.0,10.0,32.0,14.0,47.0,9.0,350.0,30.06,30.08,265,0
51.0,10.0,26.0,5.0,40.0,16.0,310.0,30.24,30.26,266,0
51.0,10.0,30.0,14.0,51.0,7.0,300.0,30.11,30.14,267,1
51.0,10.0,40.0,33.0,76.0,15.0,190.0,30.19,30.22,268,0
51.0,10.0,43.0,34.0,71.0,3.0,220.0,29.93,29.95,269,1
51.0,10.0,33.0,21.0,61.0,0.0,0.0,30.12,30.15,270,1
51.0,10.0,38.0,27.0,65.0,3.0,250.0,29.62,29.64,271,0
51.0,10.0,41.0,38.0,89.0,8.0,190.0,29.78,29.8,272,0
51.0,10.0,41.0,25.0,53.0,9.0,10.0,30.09,30.11,273,1
51.0,10.0,39.0,33.0,79.0,6.0,120.0,30.29,30.32,274,1
51.0,10.0,53.0,50.0,90.0,9.0,190.0,29.9,29.92,275,0
51.0,10.0,43.0,31.0,63.0,8.0,360.0,30.03,30.06,276,1
51.0,10.0,39.0,26.0,60.0,22.0,40.0,29.83,29.86,277,1
51.0,10.0,28.0,23.0,82.0,11.0,50.0,29.74,29.76,278,0
51.0,10.0,33.0,26.0,75.0,6.0,140.0,29.59,29.62,279,1
51.0,10.0,32.0,14.0,47.0,13.0,280.0,29.75,29.77,280,0
51.0,10.0,20.0,-3.0,36.0,16.0,290.0,30.22,30.24,281,0
51.0,1.5,44.0,41.0,89.0,14.0,180.0,30.06,30.08,282,0
51.0,10.0,38.0,27.0,65.0,17.0,310.0,29.78,29.8,283,0
51.0,10.0,36.0,22.0,57.0,14.0,310.0,30.19,30.22,284,1
51.0,10.0,26.0,6.0,42.0,11.0,360.0,30.51,30.54,285,0
51.0,10.0,43.0,37.0,79.0,11.0,30.0,29.96,29.99,286,0
51.0,10.0,38.0,19.0,46.0,9.0,40.0,30.25,30.28,287,1
51.0,5.0,38.0,36.0,93.0,11.0,60.0,30.14,30.17,288,0
51.0,6.0,55.0,53.0,93.0,28.0,190.0,29.31,29.34,289,0
51.0,10.0,39.0,25.0,57.0,22.0,290.0,29.57,29.6,290,1
51.0,10.0,44.0,38.0,80.0,13.0,190.0,29.74,29.76,291,1
51.0,10.0,42.0,32.0,68.0,11.0,220.0,29.96,29.98,292,0
51.0,10.0,52.0,47.0,83.0,25.0,170.0,29.59,29.61,293,0
51.0,10.0,29.0,7.0,39.0,20.0,310.0,30.14,30.16,294,0
51.0,3.0,32.0,24.0,72.0,3.0,120.0,30.16,30.19,295,0
51.0,10.0,36.0,28.0,73.0,6.0,180.0,30.29,30.31,296,0
51.0,10.0,46.0,38.0,74.0,7.0,260.0,30.06,30.08,297,1
51.0,9.0,45.0,41.0,86.0,5.0,150.0,30.11,30.14,298,0
51.0,10.0,54.0,46.0,75.0,6.0,190.0,30.0,30.02,299,1
51.0,10.0,63.0,52.0,68.0,6.0,270.0,29.87,29.89,300,0
51.0,10.0,50.0,35.0,57.0,10.0,120.0,30.11,30.13,301,0
51.0,10.0,46.0,43.0,89.0,21.0,40.0,29.82,29.84,302,0
51.0,10.0,47.0,43.0,86.0,3.0,230.0,29.8,29.83,303,0
51.0,10.0,47.0,42.0,83.0,0.0,0.0,29.87,29.89,304,0
51.0,10.0,50.0,33.0,52.0,8.0,270.0,29.78,29.8,305,0
51.0,5.0,34.0,32.0,92.0,7.0,10.0,29.88,29.91,306,0
51.0,10.0,38.0,15.0,39.0,15.0,310.0,30.04,30.07,307,0
51.0,10.0,45.0,40.0,83.0,11.0,190.0,29.96,29.99,308,1
51.0,10.0,49.0,36.0,61.0,6.0,50.0,30.03,30.06,309,0
51.0,10.0,45.0,40.0,83.0,9.0,70.0,30.06,30.08,310,1
51.0,10.0,49.0,29.0,46.0,26.0,300.0,29.7,29.73,311,0
51.0,10.0,39.0,12.0,33.0,7.0,320.0,30.25,30.28,312,1
51.0,10.0,47.0,41.0,80.0,14.0,200.0,30.11,30.14,313,1
51.0,7.0,55.0,54.0,96.0,24.0,180.0,29.75,29.77,314,0
51.0,10.0,36.0,15.0,42.0,8.0,90.0,30.03,30.06,315,1
51.0,10.0,30.0,22.0,72.0,17.0,360.0,30.08,30.1,316,1
51.0,10.0,32.0,6.0,33.0,7.0,350.0,30.35,30.38,317,0
51.0,10.0,48.0,44.0,86.0,11.0,170.0,29.91,29.94,318,1
51.0,10.0,49.0,38.0,66.0,17.0,260.0,29.48,29.5,319,1
51.0,10.0,44.0,35.0,71.0,15.0,200.0,30.29,30.32,320,1
51.0,10.0,51.0,47.0,86.0,21.0,190.0,29.96,29.99,321,0
51.0,10.0,42.0,21.0,43.0,7.0,360.0,30.3,30.33,322,0
51.0,10.0,42.0,35.0,76.0,5.0,200.0,30.29,30.31,323,1
51.0,10.0,44.0,31.0,60.0,0.0,0.0,30.38,30.41,324,1
51.0,10.0,49.0,36.0,61.0,5.0,190.0,30.24,30.26,325,0
51.0,10.0,57.0,37.0,47.0,9.0,240.0,30.01,30.04,326,0
51.0,10.0,54.0,24.0,31.0,13.0,340.0,30.16,30.18,327,0
51.0,10.0,49.0,32.0,52.0,11.0,230.0,30.21,30.23,328,1
51.0,10.0,57.0,52.0,83.0,6.0,210.0,29.96,29.98,329,0
51.0,10.0,48.0,43.0,83.0,0.0,0.0,30.01,30.04,330,0
51.0,10.0,52.0,49.0,90.0,3.0,60.0,29.78,29.81,331,1
51.0,10.0,47.0,38.0,71.0,10.0,40.0,29.87,29.89,332,0
51.0,10.0,52.0,46.0,80.0,7.0,290.0,29.9,29.92,333,1
51.0,10.0,49.0,37.0,63.0,0.0,0.0,30.03,30.06,334,1
51.0,6.0,46.0,44.0,93.0,7.0,40.0,30.03,30.05,335,0
51.0,4.0,53.0,52.0,96.0,5.0,10.0,29.88,29.91,336,1
51.0,3.0,49.0,47.0,93.0,10.0,100.0,29.8,29.82,337,0
51.0,10.0,48.0,42.0,80.0,13.0,30.0,29.7,29.72,338,1
51.0,10.0,52.0,43.0,72.0,14.0,50.0,29.65,29.68,339,0
51.0,10.0,55.0,31.0,40.0,7.0,310.0,29.95,29.97,340,0
51.0,10.0,54.0,28.0,37.0,10.0,20.0,30.14,30.17,341,0
51.0,10.0,54.0,44.0,69.0,8.0,280.0,30.16,30.18,342,1
51.0,10.0,56.0,51.0,83.0,0.0,0.0,30.11,30.13,343,1
51.0,10.0,54.0,51.0,90.0,0.0,0.0,29.98,30.0,344,1
51.0,10.0,46.0,27.0,48.0,17.0,280.0,29.98,30.01,345,0
